Execution_Time,CPU,Disk,Memory,Heap,Threads
30718.2,19.20833333,605084614.3,50.45833333,0.771274818,66.25
21690,2.8125,127770836.4,17.0625,0.132158402,6.25
17227.4,3,144591642.7,18,0.138714749,15.4
16801,3.785714286,158959812.4,18,0.210934242,21.42857143
15817.8,4,173408121,19,0.19119656,36.53846154
19126.6,2,126839664.6,17.4,0.184330953,6.5
15568,2.916666667,142242437,18,0.180419668,15.41666667
21777,2,127465771.7,14,0.144372639,5.714285714
18290.4,2.962962963,144562758,14,0.189486652,15
19331.2,3,161110307.3,14,0.203991616,22.09677419
16667.8,3,175606543.3,14.71428571,0.205339333,36.9047619
20565.6,2,127330304.1,14,0.139732743,6.666666667
16803.2,3,143107787,13.92,0.176360515,14.8
16222.4,3,156759358.7,14,0.18935842,26.6
14939.2,3.388888889,169190445.4,14.44444444,0.185797159,36.94444444
18668.8,2,127980729.5,13.92857143,0.129999045,5.714285714
13354.6,3,144220851.7,14,0.17249768,16.04166667
15401.2,3,158353711.7,14,0.176104553,23.84615385
16785.2,3.590909091,171323106.3,14.59090909,0.179919873,36.59090909
15995.6,4,183345933.4,15.27777778,0.198398122,46.11111111
15195.4,4,193996662.4,16.6,0.225098759,57.33333333
16489.2,5,204006456.5,17.86666667,0.272899423,66.33333333
13298,5.25,214849069.2,19,0.275878858,75.9375
18285.8,6,225930059,20.57142857,0.333948289,86.19047619
41114.2,7,238487115.3,22.47826087,0.427572896,96.30434783
69456.6,7.666666667,252369786.6,24.53333333,0.465950185,105.3333333
93005.6,8,270531340.6,27.52173913,0.53140377,112.7173913
16715.8,9,290157714.6,32,0.645598577,5.131578947
17399,9,306580517,35,0.756165236,15.66666667
20931.2,2,127688658.8,14,0.126808277,6.428571429
17065.4,3,144130777.9,13.96,0.14959945,15.6
17590.4,3,159795138.6,14,0.200501364,20.3125
17746.4,3.80952381,173580598.4,14.71428571,0.186099509,36.66666667
17899.2,4,186059420.2,15.95454545,0.216930695,45.68181818
16838.6,4,197454240,17,0.296125053,57
17643.8,5,207024016.2,18,0.312420506,65.83333333
16158.8,5,216079754.7,19,0.31697131,75.90909091
17660,6,226689307.8,20.76190476,0.369256228,87.14285714
34725,7,239381802.4,22.625,0.383074485,95.625
85596.6,7.566666667,253459524,24.93333333,0.479185984,105.3333333
92737.4,8,270686083.3,28.17073171,0.541405909,115.2439024
15607.8,9,288050177.6,33,0.679313485,5.161290323
30478.8,9,304074433.8,37,0.318767638,16.40625
15682.6,9,319993583.7,36,0.421007991,25.78125
17383.6,9.619047619,333977469.5,36,0.518632352,36.66666667
17975,9,345539344.1,36,0.5983469,46.17647059
103675,9.133333333,358861028.2,36,0.363992324,15.33333333
18375.6,10,371510994.9,36,0.431406972,60.625
102157.2,10,382564584.1,36,0.569222614,76.17647059
19826,10,394240574.3,36,0.67998762,85.2173913
21312,10,407600282.5,37,0.287627712,95.38461538
20162,10,422059937,37,0.437310513,105.5172414
76506.6,10,439823240,37,0.608660157,115.2173913
132264.2,9.931818182,467491215.5,37.67045455,0.542156347,56.25
229577.6,10,502793903.5,38,0.460188759,67.83333333
16156,10,529174466.6,38,0.646238059,6.029411765
16863.6,10,545141652.5,39,0.280579917,15.5
108975.2,10,559512110.7,39,0.466435655,31.08695652
15008.2,10,573005724,39,0.676717778,26.53846154
16179,10,585937379.6,39,0.290359464,50.5
16243.2,10,597349567.4,39,0.523064329,62.94117647
20136.6,10,608873318.7,39,0.726183155,60.47619048
15501,10,620581969.9,39,0.524405425,66.47058824
38729.2,10,631486623.1,39,0.656888567,76.66666667
115055.4,10,642970493,39,0.521034579,90.71428571
129499.6,10,657746580,39,0.756627717,110.2777778
