timeStamp,averageExecutionTime,medianOfFlowDuration,maxFlowDuration,flowDurationList,avgCpuByProcess,medianOfCpuByProcess,maxCpuByProcess,cpuByProcessList,avgDiskByProcess,medianOfDiskByProcess,maxDiskByProcess,diskByProcessList,avgMemByProcess,medianOfMemByProcess,maxMemByProcess,memByProcessList,percentageHeap,medianOfHeap,maxHeap,percentHeapList,percentageWorkerThreads,medianOfWorkerThreads,maxWorkerThreads,percentWorkerThreadsList,avgInBufferSize,medianOfInBuffer,maxInBuffer,inBufferSizeList,percentageOutBuffer,medianOfOutBuffer,maxOutBuffer,percentOutBufferList,avgSystemCpuJmx,medianOfSystemCpu,maxSystemCpu,systemCpuJmxList
Jan 11-- 2021 2:59:40 AM,14387,14625,15485,15485;14609;14625;15172;12044;,0.542128811,0.618,0.666,0.666277853741204;0.5867161058447672;0.6494706118663304;0.26605067222107787;,901239308.5,9.01E+08,904880631,904880631;902354438;900230486;897491679;,27,27,27,27.0;27.0;27.0;27.0;,0.176981376,0.176,0.288,0.08105546026432969;0.06853763154575858;0.2703141869848237;0.2880182235525007;,69,69,69,69.0;69.0;69.0;69.0;,0,0,0,0;0;0;0;,2.643333333,1.32,6.973,0.96;1.3333333333333335;1.3066666666666666;6.973333333333333;,0.551945988,0.629,0.679,0.6785991825255464;0.6049192010283853;0.6539404635215518;0.27032510372741647;
Jan 11-- 2021 3:02:10 AM,13156.4,12938,13953,12938;13953;12891;13547;12453;,0.585753751,0.62,0.861,0.7611866484345121;0.8606567446976864;0.47895516750477685;0.24221644423121014;,991194812,9.91E+08,994309980,994309980;992128684;990726226;987614358;,27,27,27,27.0;27.0;27.0;27.0;,0.246055437,0.248,0.328,0.25881557007629435;0.1596592601029148;0.3281484145933708;0.23759850199969124;,70,70,70,70.0;70.0;70.0;70.0;,0,0,0,0;0;0;0;,2.016666667,0.553,6.96,0.9333333333333335;0.17333333333333334;6.959999999999999;0.0;,0.590699645,0.622,0.871,0.7578144949834017;0.8705895604570186;0.48539444785894525;0.24900007622481055;
Jan 11-- 2021 3:04:44 AM,13263,12485,16328,16328;14548;11938;12485;11016;,0.621286408,0.637,0.939,0.6491180394790126;0.9391715795883536;0.6244101254701396;0.27244588735665465;,1087088786,1.09E+09,1095122601,1095122601;1085408837;1085396028;1082427676;,27,27,27,27.0;27.0;27.0;27.0;,0.115109221,0.114,0.169,0.15068645993559104;0.07709939496490198;0.06405917098124207;0.1685918566984372;,71.25,71,72,71.0;71.0;72.0;71.0;,0,0,0,0;0;0;0;,1.73,0.967,4.947,0.04;0.9733333333333334;0.96;4.946666666666666;,0.629388755,0.641,0.957,0.6548088699220047;0.9566001376083225;0.6268801309970704;0.2792658808651205;
Jan 11-- 2021 3:07:13 AM,13678.4,13891,14984,14860;13891;12500;14984;12157;,0.602730532,0.646,0.878,0.6644179687838673;0.6464639589867176;0.8781927460447437;0.5554866530354633;0.2690913316560345;,1183879345,1.18E+09,1190064943,1190064943;1184181474;1182951152;1181905358;1180293796;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.230490919,0.244,0.29,0.2440352021020932;0.2168968257919426;0.28158853680607404;0.11959768420156396;0.29033634469595226;,72,72,72,72.0;72.0;72.0;72.0;72.0;,0,0,0,0;0;0;0;0;,2.045333333,3,3.067,0.6799999999999999;3.0666666666666664;3.0;0.45333333333333337;3.026666666666667;,0.610467773,0.662,0.899,0.6645594024286214;0.6620337874318176;0.8993507478999114;0.5526169730621944;0.27377795583402165;
Jan 11-- 2021 3:09:50 AM,13235,13063,14172,13063;14172;13017;13485;12438;,0.632503458,0.603,0.919,0.7999931051260912;0.9188237609637556;0.5713688681383646;0.6029032628789159;0.2694282912432826;,1288250617,1.29E+09,1292009859,1292009859;1289750635;1288643310;1286396426;1284452854;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.221992609,0.236,0.311,0.23559034380595842;0.13760899635216944;0.3107185844462999;0.13251539604259235;0.2935297222673997;,73,73,73,73.0;73.0;73.0;73.0;73.0;,0,0,0,0;0;0;0;0;,3.730666667,4.84,7.067,0.9733333333333334;0.8;7.066666666666667;4.84;4.973333333333333;,0.643857144,0.633,0.927,0.8133349421372453;0.9269486616918289;0.5714733094347795;0.6327639597811879;0.2747648488307366;
Jan 11-- 2021 3:12:30 AM,14207.2,14095,15579,15579;14798;13564;14095;13000;,0.55851379,0.607,0.806,0.8059236315872;0.6065467747441363;0.6722444770946849;0.4133710157207091;0.29448305171636535;,1396763035,1.40E+09,1400255840,1400255840;1398078601;1396606459;1395273646;1393600631;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.206012219,0.19,0.316,0.14963104540208197;0.3164317573287492;0.19876867795882808;0.17501957364449452;0.19021004152199975;,74,74,74,74.0;74.0;74.0;74.0;74.0;,0,0,0,0;0;0;0;0;,3.224,1,6.987,1.0;1.0;6.986666666666666;6.986666666666666;0.14666666666666667;,0.568881845,0.618,0.806,0.8059203894715621;0.6177492084362408;0.6832265719460586;0.4370577039427877;0.30045535199082984;
Jan 11-- 2021 3:15:07 AM,13935,14204,15157,14204;15157;14032;14610;11672;,0.571288999,0.625,0.707,0.7069839469882495;0.6254434637837498;0.6582071587339675;0.5887767353303536;0.2770336902124034;,1489275465,1.49E+09,1494314776,1494314776;1492555706;1488098789;1486749605;1484658447;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.231214678,0.167,0.361,0.15200800379960172;0.3608000737327328;0.1671926580468629;0.34064989075216756;0.1354227620014789;,75,75,75,75.0;75.0;75.0;75.0;75.0;,0,0,0,0;0;0;0;0;,2.954666667,3.067,5.067,0.5733333333333334;1.04;5.066666666666666;3.0666666666666664;5.026666666666666;,0.584392367,0.642,0.714,0.7139443745919201;0.6415883916861362;0.6614030886563323;0.6213261348027095;0.28369984481209365;
Jan 11-- 2021 3:17:43 AM,13966.4,14517,15641,15641;15469;14517;14407;9798;,0.481776161,0.537,0.578,0.578118185385467;0.5685360624768413;0.5061152460129456;0.2743351516900049;,1589293010,1.59E+09,1593234465,1593234465;1591040829;1587723510;1585173236;,27,27,27,27.0;27.0;27.0;27.0;,0.233180774,0.255,0.334,0.1997303582842193;0.08840500512139624;0.31102291237090024;0.33356482117391295;,76,76,76,76.0;76.0;76.0;76.0;,0,0,0,0;0;0;0;,2.606666667,2.287,5.067,0.7866666666666666;1.0666666666666667;3.506666666666667;5.066666666666666;,0.492817826,0.548,0.594,0.5939555357463957;0.570597036039793;0.526171405063268;0.28054732720383946;
Jan 11-- 2021 3:20:20 AM,13054.4,12953,14676,13095;14676;12257;12953;12291;,0.437954437,0.515,0.521,0.5154226574348348;0.5211774188091495;0.2772632340421604;,1691918881,1.69E+09,1694071509,1694071509;1691795888;1689889245;,27,27,27,27.0;27.0;27.0;,0.331380266,0.34,0.351,0.35058903065174;0.3032972295577009;0.3402545388663878;,77.33333333,77,78,77.0;77.0;78.0;,0,0,0,0;0;0;,2.946666667,2.987,3.027,3.026666666666667;2.8266666666666667;2.986666666666667;,0.453212916,0.531,0.545,0.5314339477865138;0.5448065112786145;0.28339828854348914;
Jan 11-- 2021 3:22:58 AM,13990.6,14173,14281,13720;14232;13547;14281;14173;,0.5832767,0.579,0.89,0.8900524170814036;0.4801705486326219;0.6741200497214037;0.5009310821580938;0.6568649096976891;0.2975211912397473;,1792909601,1.79E+09,1797206230,1797206230;1795828361;1794475107;1791846944;1789973069;1788127892;,27,27,27,27.0;27.0;27.0;27.0;27.0;27.0;,0.223179469,0.203,0.352,0.24021119985441114;0.1651238647498883;0.28096979245570375;0.3517273348648623;0.16447263307928128;0.13657198651702923;,78,78,78,78.0;78.0;78.0;78.0;78.0;78.0;,0,0,0,0;0;0;0;0;0;,3.328888889,2.08,7.053,1.0533333333333335;0.6666666666666667;3.08;1.08;7.053333333333334;7.04;,0.591043816,0.589,0.892,0.8915672182235853;0.48688900778356514;0.6850511127701602;0.5242606664825578;0.6544660620933669;0.30402882808245135;
Jan 11-- 2021 3:25:39 AM,13481.8,13673,15188,13673;15188;14094;13641;10813;,0.562458849,0.563,0.846,0.845800874628361;0.5625704298389287;0.6561456496097609;0.46156738908774203;0.2862099023918246;,1898684300,1.90E+09,1902784104,1902784104;1901512809;1897637940;1896596255;1894890394;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.167164101,0.158,0.262,0.1961009553492099;0.1066541752532518;0.2616012641667251;0.11320271228282797;0.15826139844467702;,79,79,79,79.0;79.0;79.0;79.0;79.0;,0,0,0,0;0;0;0;0;,2.362666667,3.08,3.533,1.0666666666666667;3.0933333333333333;1.04;3.5333333333333337;3.08;,0.575117277,0.573,0.853,0.8525519340662222;0.5733748803186121;0.6703574353656476;0.48760836316130474;0.2916937724688142;
Jan 11-- 2021 3:28:14 AM,14276,14172,15611,15611;14172;14017;14423;13157;,0.485039681,0.548,0.561,0.5491507518151081;0.5463680225101604;0.561007815913779;0.2836321325332631;,1997747657,2.00E+09,2001567922,2001567922;1999251328;1996553468;1993617910;,27,27,27,27.0;27.0;27.0;27.0;,0.154649308,0.157,0.197,0.10868869844030161;0.11751277762259459;0.19672910031909988;0.19566665430633087;,80,80,80,80.0;80.0;80.0;80.0;,0,0,0,0;0;0;0;,3.833333333,4.073,5.093,5.093333333333333;5.093333333333333;3.0533333333333332;2.0933333333333337;,0.49955357,0.56,0.589,0.5574986395580639;0.5623480517078296;0.588542639906745;0.28982494815531046;
Jan 11-- 2021 3:30:55 AM,13853.2,15845,16064,16047;15845;16064;11763;9547;,0.60279889,0.593,0.921,0.9210099119729648;0.5720668529779962;0.6129661587242246;0.30515263449130947;,2110468963,2.11E+09,2115065521,2115065521;2113839321;2108025028;2104945980;,27,27,27,27.0;27.0;27.0;27.0;,0.272826625,0.268,0.39,0.16436670526762087;0.39023466142259855;0.3640463657594791;0.17265876791820509;,81.25,81,82,81.0;81.0;82.0;81.0;,0,0,0,0;0;0;0;,1.743333333,0.82,5.147,0.5466666666666666;0.18666666666666668;1.0933333333333333;5.1466666666666665;,0.608652578,0.6,0.922,0.9221861594994126;0.5783804959914933;0.6223590145741057;0.31168464238947424;
Jan 11-- 2021 3:33:35 AM,13938.2,13985,14813,13985;14813;13313;12923;14657;,0.570172296,0.561,0.748,0.6789328426233413;0.7476590071128949;0.5589073590931638;0.5612653823214508;0.30409688898750636;,2220790841,2.22E+09,2224466455,2224466455;2221698937;2220759704;2219558054;2217471057;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.23524572,0.228,0.323,0.32264403764381583;0.18110643330857695;0.2957786399755211;0.1489001317573936;0.22779935837266813;,82,82,82,82.0;82.0;82.0;82.0;82.0;,0,0,0,0;0;0;0;0;,3.437333333,3.16,7.107,1.0933333333333333;0.6533333333333333;5.173333333333333;3.16;7.1066666666666665;,0.577195363,0.578,0.746,0.6912727154036008;0.7464766946053607;0.5613226707465622;0.5775924032599347;0.3093123301257894;
Jan 11-- 2021 3:36:19 AM,14272.6,15110,15954,15735;15110;15954;11782;12782;,0.553062331,0.545,0.81,0.6456831544413784;0.44361049984035117;0.8103647436066077;0.3125909255528067;,2322651792,2.32E+09,2328609559,2328609559;2322557516;2320950076;2318490018;,27,27,27,27.0;27.0;27.0;27.0;,0.153930416,0.136,0.305,0.3048871513487275;0.09496954625319891;0.17718606187501457;0.03867890612406829;,83,83,83,83.0;83.0;83.0;83.0;,0,0,0,0;0;0;0;,1.413333333,1.127,2.853,1.08;2.8533333333333335;1.1733333333333333;0.5466666666666666;,0.571512044,0.573,0.821,0.6872175665727832;0.45835399921032033;0.8210551039354494;0.3194215081611429;
Jan 11-- 2021 3:38:56 AM,13753.8,13688,15422,13688;15422;12595;13313;13751;,0.54010971,0.587,0.689,0.6889817434825934;0.5866439157091301;0.6189008117289014;0.4992306410723877;0.3067914356520559;,2426730780,2.43E+09,2431058191,2431058191;2427946310;2426326582;2425227475;2423095344;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.16615334,0.149,0.332,0.3324081531372756;0.15825722122620947;0.07795132580001082;0.11332150771633492;0.14882849402508563;,84.2,84,85,84.0;84.0;85.0;84.0;84.0;,0,0,0,0;0;0;0;0;,3.490666667,3.173,5.187,1.1199999999999999;3.173333333333334;2.8533333333333335;5.12;5.1866666666666665;,0.547308584,0.598,0.701,0.7008955574580988;0.5981891399747992;0.6233776136417817;0.5031753051259183;0.31090530221241364;
Jan 11-- 2021 3:41:41 AM,14431.8,14470,15719,14470;15719;14016;12750;15204;,0.502002716,0.533,0.636,0.63608169714861;0.5958464260654688;0.4263716125343271;0.5330916584433145;0.31862218482812066;,2535291968,2.54E+09,2539558688,2539558688;2536475531;2535839649;2533859161;2530726813;,28,28,28,28.0;28.0;28.0;28.0;28.0;,0.244387158,0.271,0.297,0.27058160795228237;0.11065132204048807;0.2972703274202935;0.28753433009799795;0.2558982046300822;,85.2,85,86,85.0;85.0;85.0;85.0;86.0;,0,0,0,0;0;0;0;0;,4.08,5.2,7.133,0.9733333333333334;1.1733333333333333;7.133333333333333;5.2;5.92;,0.512240552,0.555,0.642,0.6419868191674412;0.605078531561259;0.4339391867852617;0.5549084652560594;0.32528975526748405;
Jan 11-- 2021 3:44:21 AM,14300.6,14188,15142,14188;14922;15142;13235;14016;,0.540869586,0.529,0.731,0.6923082439257923;0.7313652835286597;0.529349331343328;0.4532167983315072;0.2981082710022775;,2642008113,2.64E+09,2647050433,2647050433;2643946757;2641318607;2639944847;2637779922;,28,28,28,28.0;28.0;28.0;28.0;28.0;,0.242271903,0.219,0.363,0.21920011203145115;0.363061302555555;0.15660239732047923;0.26484228000579507;0.20765342188418434;,86,86,86,86.0;86.0;86.0;86.0;86.0;,0,0,0,0;0;0;0;0;,3.378666667,1.72,7.147,1.0666666666666667;1.72;1.32;5.64;7.1466666666666665;,0.558490596,0.553,0.748,0.7017749103088895;0.7480710095402157;0.5533488039628804;0.484759804600018;0.3044984494262464;
Jan 11-- 2021 3:47:01 AM,13847.2,14328,14782,14328;14782;13703;11766;14657;,0.604333764,0.585,0.892,0.8921441987488019;0.564954068235014;0.584861846591096;0.6650924449848393;0.3146162635296488;,2745278389,2.75E+09,2748327611,2748327611;2747056368;2745731747;2743480754;2741795464;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.134535479,0.105,0.22,0.21969014894318636;0.09645436046719293;0.18854922976811844;0.06326457259594094;0.10471908543779998;,87,87,87,87.0;87.0;87.0;87.0;87.0;,0,0,0,0;0;0;0;0;,3.597333333,3.24,5.173,1.2;5.16;3.2399999999999998;3.2133333333333334;5.173333333333333;,0.619173328,0.598,0.895,0.8949396518414968;0.5840699150798183;0.5976822872808033;0.6966886102541667;0.3224861743569826;
Jan 11-- 2021 3:49:44 AM,12997.8,12438,15455,15455;14001;11985;12438;11110;,0.630781324,0.63,0.949,0.9485323220850542;0.7215486885424821;0.5378500579705965;0.3151942271870436;,2847677925,2.85E+09,2849805206,2849805206;2849091409;2846897786;2844917298;,27,27,27,27.0;27.0;27.0;27.0;,0.18168529,0.153,0.327,0.09266514300827465;0.3272426580863904;0.18520520073266708;0.12162815745929638;,88,88,88,88.0;88.0;88.0;88.0;,0,0,0,0;0;0;0;,3,3.187,5.227,1.2;0.4;5.226666666666667;5.173333333333333;,0.645262885,0.649,0.958,0.9580881349339482;0.754757106497607;0.5424760801879897;0.3257302193649478;
Jan 11-- 2021 3:52:27 AM,14247.6,13985,16000,13704;16000;14845;13985;12704;,0.515130215,0.545,0.649,0.5175378278668594;0.6489618880292857;0.5722670876110758;0.3217540577338994;,2952576342,2.95E+09,2956353557,2956353557;2953389288;2950990683;2949571841;,27,27,27,27.0;27.0;27.0;27.0;,0.229557998,0.22,0.373,0.10395386888066972;0.37335779914273004;0.19820231809582456;0.24271800484705072;,89,89,89,89.0;89.0;89.0;89.0;,0,0,0,0;0;0;0;,4.466666667,4.813,5.267,4.426666666666667;5.266666666666667;2.9733333333333336;5.2;,0.525602889,0.555,0.665,0.5415326289785355;0.664703052207243;0.5683329842372543;0.3278428912944944;
Jan 11-- 2021 3:55:09 AM,14769.4,14813,15376,15360;14375;14813;15376;13923;,0.665980133,0.748,0.858,0.8321825150965991;0.6677408087584156;0.8581751630648405;0.8273809073238938;0.4856846112409097;0.32471679008106663;,3065790694,3.07E+09,3070351745,3070351745;3068285189;3066759760;3064828437;3062930012;3061589020;,27,27,27,27.0;27.0;27.0;27.0;27.0;27.0;,0.234651892,0.206,0.368,0.1930214316367331;0.36779600279161545;0.17380611405390478;0.3031040591511348;0.15121827595712237;0.21896546607890174;,90,90,90,90.0;90.0;90.0;90.0;90.0;90.0;,0,0,0,0;0;0;0;0;0;,2.706666667,2.48,5.24,1.2;3.253333333333333;3.7066666666666666;1.7066666666666668;1.1333333333333333;5.24;,0.681437327,0.757,0.882,0.8407552196459928;0.6787501263705218;0.88189100533117;0.8345237838123504;0.5216556946802047;0.33104813098729635;
Jan 11-- 2021 3:57:49 AM,13906.8,14001,14688,14235;14688;13391;14001;13219;,0.611375519,0.622,0.889,0.5496386555676819;0.8888837531160931;0.6217538307049713;0.662884460106006;0.3337168967764201;,3172184601,3.17E+09,3174699323,3174699323;3173452604;3172484660;3170905918;3169380502;,27,27,27,27.0;27.0;27.0;27.0;27.0;,0.198371212,0.187,0.319,0.21156027045037834;0.1368104409428993;0.319419526605136;0.18655750186463982;0.13750832127032445;,91,91,91,91.0;91.0;91.0;91.0;91.0;,0,0,0,0;0;0;0;0;,3.877333333,4.973,7.24,1.2533333333333334;0.6933333333333334;7.24;4.973333333333333;5.226666666666667;,0.627088338,0.654,0.905,0.558206841195131;0.9045144183611383;0.654084199703709;0.6779786085273148;0.34065762160302926;
Jan 13-- 2021 8:21:13 AM,12844.6,12552,14846,12552;13107;14846;11645;12073;,0.114030172,0.126,0.166,0.1251583471722766;0.1659514238812039;0.14892938304984854;0.12710126839865746;0.11075270158621969;0.006287908487225316;,2574989029,2.57E+09,2575155205,2575155205;2575154684;2574989289;2574988768;2574823373;2574822852;,51,51,51,51.0;51.0;51.0;51.0;51.0;51.0;,0.216090808,0.229,0.302,0.30182415831781734;0.18968309012850332;0.2979108697869941;0.04987526056942304;0.26550729697124703;0.19174417057101772;,2,2,2,2.0;2.0;2.0;2.0;2.0;2.0;,0,0,0,0;0;0;0;0;0;,1.717777778,1.073,4.027,0.08;4.026666666666666;4.026666666666666;2.0266666666666664;0.02666666666666667;0.12;,0.116759991,0.125,0.17,0.12389150895760126;0.17024288059398052;0.15110253127967954;0.12574940556729164;0.12188927431447849;0.007684346205699799;
Jan 13-- 2021 8:23:07 AM,12192.8,11888,13311,11888;11027;12889;13311;11849;,0.166132442,0.192,0.209,0.18525386244433778;0.16620298750936255;0.20910160172378398;0.20855260902233624;0.1983053239490389;0.0293782701963226;,2576012751,2.58E+09,2576316757,2576316757;2576150841;2575985446;2575984925;2575819530;2575819009;,51,51,51,51.0;51.0;51.0;51.0;51.0;51.0;,0.189200722,0.187,0.258,0.21904606903200305;0.25838149068038785;0.15517772105714545;0.1524914212427249;0.25723127663256623;0.09287635048409074;,3,3,3,3.0;3.0;3.0;3.0;3.0;3.0;,0,0,0,0;0;0;0;0;0;,1.115555556,1.093,2.253,0.02666666666666667;2.2533333333333334;2.1999999999999997;2.04;0.02666666666666667;0.14666666666666667;,0.166353411,0.189,0.207,0.18294145933938855;0.17682484608474436;0.20725219870104428;0.2048931781023431;0.19567358575623306;0.030535196126926456;
Jan 13-- 2021 8:24:59 AM,10967.6,11027,12261,12261;11354;10472;11027;9724;,0.194486041,0.228,0.312,0.3120458564795352;0.22830474385542576;0.04310752355545556;,2577144253,2.58E+09,2577309648,2577309648;2577144253;2576978858;,51,51,51,51.0;51.0;51.0;,0.259086326,0.282,0.297,0.19749964944162068;0.2824587191307706;0.2973006102458412;,4,4,4,4.0;4.0;4.0;,0,0,0,0;0;0;,2.084444444,2.067,2.133,2.0533333333333332;2.1333333333333333;2.0666666666666664;,0.193968001,0.23,0.308,0.3079206646469915;0.22954862919639296;0.04443470950559392;
Jan 13-- 2021 8:26:41 AM,11706.8,11768,12189,12189;12083;11768;11036;11458;,0.244246182,0.285,0.31,0.25275921754302544;0.30452727396948803;0.31027805452610224;0.2852268552934484;0.0684395077051785;,2578468268,2.58E+09,2578799142,2578799142;2578633747;2578468352;2578302957;2578137144;,51,51,51,51.0;51.0;51.0;51.0;51.0;,0.224815822,0.244,0.266,0.12458367007119316;0.24757855446321508;0.24411483957797667;0.24170254542730274;0.2660994985342725;,5,5,5,5.0;5.0;5.0;5.0;5.0;,0.2,0,1,1;0;0;0;0;,2.088,2.067,4.093,0.08;2.0666666666666664;2.0666666666666664;2.1333333333333333;4.093333333333334;,0.248339647,0.288,0.313,0.26556759726891954;0.3037190273665017;0.312955736406488;0.2884864989722338;0.07096937541142356;
Jan 13-- 2021 8:28:26 AM,11002.8,11741,12584,12584;11741;12221;11535;6933;,0.305259434,0.356,0.429,0.42921562096835897;0.3911164338080958;0.3209715193888351;0.0797341599721012;,2579298062,2.58E+09,2579298974,2579298974;2579298453;2579297932;2579296890;,51,51,51,51.0;51.0;51.0;51.0;,0.132450645,0.133,0.18,0.11947997731156475;0.14727324866414812;0.17979637436053178;0.0832529790999601;,6.25,6,7,6.0;6.0;7.0;6.0;,0,0,0,0;0;0;0;,1.606666667,1.133,4.08,0.08;2.12;4.08;0.14666666666666667;,0.304566305,0.358,0.421,0.42149198912960306;0.3965632572780427;0.31925211431867095;0.08095786009012439;
Jan 13-- 2021 8:30:10 AM,12072.2,12283,12839,12283;12384;12839;12239;10616;,0.245230181,0.296,0.347,0.29603801099405525;0.34727456415129265;0.09237796773308142;,2579302100,2.58E+09,2579302621,2579302621;2579302100;2579301579;,51,51,51,51.0;51.0;51.0;,0.387658321,0.388,0.397,0.39684226193973404;0.37778559285037044;0.38834710889037743;,7,7,7,7.0;7.0;7.0;,0,0,0,0;0;0;,2.257777778,2.093,2.587,2.0933333333333337;2.0933333333333337;2.5866666666666664;,0.242299273,0.292,0.341,0.291683729775135;0.34138567550132115;0.09382841491084115;
Jan 13-- 2021 8:31:52 AM,11515.8,11415,13044,13044;11415;11194;11610;10316;,0.330751524,0.376,0.461,0.4607936025359935;0.3835668108796048;0.36890266120081816;0.10974302260481275;,2579306659,2.58E+09,2579307831,2579307831;2579306789;2579306268;2579305747;,51,51,51,51.0;51.0;51.0;51.0;,0.361943228,0.399,0.44,0.3622338472022788;0.2106244367801216;0.43982007866756806;0.4350945483032347;,8,8,8,8.0;8.0;8.0;8.0;,0,0,0,0;0;0;0;,1.61,2.107,2.12,0.10666666666666667;2.106666666666667;2.106666666666667;2.12;,0.333373447,0.38,0.462,0.46238526221195203;0.38940306395391144;0.3705836281674393;0.11112183366673156;
Jan 13-- 2021 8:33:38 AM,12104,12157,12808,12808;12000;12157;12585;10970;,0.297524115,0.368,0.41,0.40988686026041476;0.36848531007647023;0.11420017484152742;,2579310957,2.58E+09,2579311478,2579311478;2579310957;2579310436;,51,51,51,51.0;51.0;51.0;,0.367525773,0.31,0.488,0.3100682482827727;0.3047356341092056;0.48777343659955513;,9.333333333,9,10,9.0;9.0;10.0;,0,0,0,0;0;0;,2.857777778,2.347,4.107,2.12;2.3466666666666667;4.1066666666666665;,0.300673539,0.376,0.41,0.41003175109945367;0.3759821396362691;0.1160067258636548;
Jan 13-- 2021 8:35:26 AM,12527.4,12650,14518,14518;13276;12188;12650;10005;,0.340350045,0.364,0.508,0.4034913112021481;0.32417382825255864;0.5075106922176111;0.12622435000628174;,2579315516,2.58E+09,2579316688,2579316688;2579315646;2579315125;2579314604;,51,51,51,51.0;51.0;51.0;51.0;,0.439716769,0.459,0.471,0.4551096290408511;0.36954487045132517;0.4714415559252069;0.46277101913648855;,10.25,10,11,10.0;11.0;10.0;10.0;,0,0,0,0;0;0;0;,1.093333333,1.06,2.133,0.12;1.9866666666666668;0.13333333333333333;2.1333333333333333;,0.341781414,0.367,0.506,0.4075152064509424;0.32601997498456414;0.5057287171445874;0.12786175659808763;
Jan 13-- 2021 8:37:21 AM,12032.2,12270,13526,13526;12542;12270;10659;11164;,0.346899738,0.416,0.503,0.41575831463126856;0.5025290652809488;0.12241183417335008;,2579319814,2.58E+09,2579320335,2579320335;2579319814;2579319293;,51,51,51,51.0;51.0;51.0;,0.447590676,0.504,0.509,0.503521465668685;0.3302712869939429;0.5089792752634348;,12,12,13,12.0;13.0;11.0;,0,0,0,0;0;0;,2.177777778,2.147,2.253,2.1466666666666665;2.1333333333333333;2.2533333333333334;,0.349950578,0.418,0.508,0.4180546354490995;0.5076273782390455;0.12416971993015424;
Jan 13-- 2021 8:39:14 AM,12548.6,13020,13967,13967;13343;13020;10981;11432;,0.317654545,0.356,0.465,0.3560486394449153;0.4647823869552387;0.132132607875428;,2579323982,2.58E+09,2579324503,2579324503;2579323982;2579323461;,51,51,51,51.0;51.0;51.0;,0.558812024,0.585,0.664,0.4274545980457474;0.6640264429645791;0.5849550320799493;,12,12,12,12.0;12.0;12.0;,0.333333333,0,1,0;1;0;,2.862222222,4.187,4.2,0.2;4.186666666666667;4.2;,0.319649995,0.36,0.465,0.36029025528799896;0.46469728571372015;0.13396244412841318;
Jan 13-- 2021 8:41:04 AM,11001,10254,13266,13266;12165;9469;9851;10254;,0.333430582,0.408,0.457,0.4566426747687284;0.4078057373542294;0.13584333358930556;,2579328150,2.58E+09,2579328671,2579328671;2579328150;2579327629;,51,51,51,51.0;51.0;51.0;,0.583991644,0.538,0.703,0.5111768658499336;0.5376651367112587;0.703132928200775;,13,13,13,13.0;13.0;13.0;,0,0,0,0;0;0;,2.244444444,2.32,4.187,0.22666666666666668;4.186666666666667;2.32;,0.334699999,0.414,0.453,0.45266522606117576;0.4137300849581713;0.13770468635041;
Jan 13-- 2021 8:42:56 AM,12513.8,12668,13704,13704;12668;13185;11287;11725;,0.313246196,0.384,0.425,0.4250988175179839;0.38369797260130445;0.13094179790455474;,2579332318,2.58E+09,2579332839,2579332839;2579332318;2579331797;,51,51,51,51.0;51.0;51.0;,0.575589888,0.536,0.695,0.5359457392592506;0.49571427921691724;0.6951096449989165;,14.33333333,14,15,14.0;15.0;14.0;,0,0,0,0;0;0;,2.2,2.187,4.187,0.22666666666666668;4.186666666666667;2.1866666666666665;,0.316276945,0.385,0.431,0.4314138290385182;0.3850137227589635;0.13240328343265406;
Jan 13-- 2021 8:44:43 AM,13347,13555,14033,13851;13555;14033;12429;12867;,0.344078022,0.376,0.469,0.3771279041105445;0.46907458371109473;0.37514543042395915;0.15496416842244426;,2579336747,2.58E+09,2579337528,2579337528;2579337007;2579336486;2579335965;,51,51,51,51.0;51.0;51.0;51.0;,0.676833534,0.65,0.806,0.6013275640999513;0.634306162365007;0.8059959701605437;0.6657044390593749;,15,15,15,15.0;15.0;15.0;15.0;,0,0,0,0;0;0;0;,2.263333333,2.24,4.373,0.27999999999999997;0.2;4.373333333333333;4.2;,0.34854336,0.386,0.466,0.37491592178913;0.4656096079784465;0.39674583179741807;0.15690208017733587;
Jan 13-- 2021 8:46:30 AM,12546.6,12539,13159,12841;12539;11658;13159;12536;,0.23462697,0.235,0.323,0.32263495707675516;0.14661898255853945;,2579505789,2.58E+09,2579506049,2579506049;2579505528;,51,51,51,51.0;51.0;,0.159798496,0.16,0.2,0.1996755040987694;0.11992148823403569;,16.5,16.5,17,17.0;16.0;,0,0,0,0;0;,4.313333333,4.313,4.347,4.346666666666667;4.279999999999999;,0.235207766,0.235,0.323,0.3225105736110383;0.14790495765117295;
